Script started on 2025-04-20 19:10:08+02:00 [TERM="xterm-256color" TTY="/dev/pts/1" COLUMNS="67" LINES="17"]
[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ ps -ef
[?2004lUID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:14 ?        00:00:05 /sbin/init spla
root           2       0  0 16:14 ?        00:00:00 [kthreadd]
root           3       2  0 16:14 ?        00:00:00 [pool_workqueue
root           4       2  0 16:14 ?        00:00:00 [kworker/R-rcu_
root           5       2  0 16:14 ?        00:00:00 [kworker/R-sync
root           6       2  0 16:14 ?        00:00:00 [kworker/R-slub
root           7       2  0 16:14 ?        00:00:00 [kworker/R-netn
root          10       2  0 16:14 ?        00:00:00 [kworker/0:0H-e
root          12       2  0 16:14 ?        00:00:00 [kworker/R-mm_p
root          13       2  0 16:14 ?        00:00:00 [rcu_tasks_kthr
root          14       2  0 16:14 ?        00:00:00 [rcu_tasks_rude
root          15       2  0 16:14 ?        00:00:00 [rcu_tasks_trac
root          16       2  0 16:14 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 16:14 ?        00:00:06 [rcu_preempt]
root          18       2  0 16:14 ?        00:00:00 [rcu_exp_par_gp
root          19       2  0 16:14 ?        00:00:00 [rcu_exp_gp_kth
root          20       2  0 16:14 ?        00:00:00 [migration/0]
root          21       2  0 16:14 ?        00:00:00 [idle_inject/0]
root          22       2  0 16:14 ?        00:00:00 [cpuhp/0]
root          23       2  0 16:14 ?        00:00:00 [cpuhp/1]
root          24       2  0 16:14 ?        00:00:00 [idle_inject/1]
root          25       2  0 16:14 ?        00:00:00 [migration/1]
root          26       2  0 16:14 ?        00:00:00 [ksoftirqd/1]
root          28       2  0 16:14 ?        00:00:00 [kworker/1:0H-e
root          29       2  0 16:14 ?        00:00:00 [cpuhp/2]
root          30       2  0 16:14 ?        00:00:00 [idle_inject/2]
root          31       2  0 16:14 ?        00:00:00 [migration/2]
root          32       2  0 16:14 ?        00:00:00 [ksoftirqd/2]
root          34       2  0 16:14 ?        00:00:00 [kworker/2:0H-k
root          35       2  0 16:14 ?        00:00:00 [cpuhp/3]
root          36       2  0 16:14 ?        00:00:00 [idle_inject/3]
root          37       2  0 16:14 ?        00:00:00 [migration/3]
root          38       2  0 16:14 ?        00:00:00 [ksoftirqd/3]
root          40       2  0 16:14 ?        00:00:00 [kworker/3:0H-k
root          41       2  0 16:14 ?        00:00:00 [cpuhp/4]
root          42       2  0 16:14 ?        00:00:00 [idle_inject/4]
